"kommunenummer","kommunenavn","fylkesnummer","fylkesnavn","nordnorge","tilfeller","tilfeller1000","over1","dode","karantene","areal","folketall","over69","andelover69","sentralitetsindeks","ledighet","innvandrere","skatteinntekter","STN","senterpartiet","passasjererutland"
"0301","Oslo","03","Oslo",0,2955,4.26103181858819,1,51,0,454.12,693494,66205,0.0954658583924302,1000,2.55,33.79,88606.2,0,2.18351,13313399
"1101","Eigersund","11","Rogaland",0,14,0.945243400175545,0,0,0,432.48,14811,2024,0.136655188711093,754,1.5,13.04,897.7,0,11.78035,0
"1103","Stavanger","11","Rogaland",0,136,0.947246715979216,0,0,0,262.52,143574,15426,0.107442851769819,890,2.55,23.02,15256.6,0,4.78813,1531692
"1106","Haugesund","11","Rogaland",0,58,1.55258719918623,1,0,0,72.68,37357,4804,0.128597050084322,832,2.25,18.06,2472.7,0,5.05161,18699
"1108","Sandnes","11","Rogaland",0,50,0.628638243836202,0,1,0,1040.56,79537,7537,0.0947609288758691,878,2.7,22.96,5701.7,0,6.92903,0
"1111","Sokndal","11","Rogaland",0,5,1.52439024390244,1,0,0,294.98,3280,508,0.154878048780488,653,1.45,7.35,182.3,0,11.80022,0
"1112","Lund","11","Rogaland",0,1,0.312304809494066,0,0,0,408.42,3202,460,0.14366021236727,629,1.75,10.24,172.4,0,22.05619,0
"1114","Bjerkreim","11","Rogaland",0,0,0,0,0,0,650.56,2787,308,0.110513096519555,691,1.8,10.51,150.9,0,36.54105,0
"1119","Hå","11","Rogaland",0,7,0.368595650571323,0,0,0,257.99,18991,2020,0.106366173450582,771,1.95,15.22,1007.3,0,15.83529,0
"1120","Klepp","11","Rogaland",0,6,0.306309985705534,0,0,0,113.49,19588,2045,0.104400653461303,846,2.1,15.31,1204.1,0,16.91769,0
"1121","Time","11","Rogaland",0,14,0.74011418904631,0,0,0,183.19,18916,2012,0.106364982025798,833,1.75,12.48,1168.1,0,18.71459,0
"1122","Gjesdal","11","Rogaland",0,13,1.08315280786536,1,1,0,617.98,12002,999,0.0832361273121146,801,2.6,15.55,646.9,0,13.63878,0
"1124","Sola","11","Rogaland",0,19,0.699738518764041,0,0,0,69.05,27153,2700,0.0994365263506795,857,2.45,20.41,3209.4,0,9.93859,0
"1127","Randaberg","11","Rogaland",0,10,0.89118616879066,0,0,0,24.71,11221,1252,0.111576508332591,866,2.15,13.65,739.8,0,15.84919,0
"1130","Strand","11","Rogaland",0,12,0.925354719309068,0,1,0,261.69,12968,1617,0.124691548426897,708,2.75,11.96,696.3,0,13.10633,0
"1133","Hjelmeland","11","Rogaland",0,0,0,0,0,0,1067.78,2574,426,0.165501165501166,518,1.55,17.33,168.4,0,47.30135,0
"1134","Suldal","11","Rogaland",0,1,0.262881177707676,0,0,0,1736.65,3804,619,0.162723449001052,509,1,11.91,355.8,0,44.56107,0
"1135","Sauda","11","Rogaland",0,3,0.652883569096844,0,0,0,546.56,4595,774,0.168443960826986,620,1.3,9.6,318.5,0,53.58155,0
"1144","Kvitsøy","11","Rogaland",0,0,0,0,0,0,6.29,517,100,0.193423597678917,502,NA,10.25,29.2,0,NA,0
"1145","Bokn","11","Rogaland",0,1,1.17370892018779,1,0,0,47.17,852,150,0.176056338028169,624,1.4,9.51,46.9,0,40.68136,0
"1146","Tysvær","11","Rogaland",0,20,1.80750112968821,1,0,0,425.48,11065,1394,0.125982828739268,722,1.85,9.15,618.9,0,20.80205,0
"1149","Karmøy","11","Rogaland",0,77,1.82525008296591,1,0,0,229.96,42186,5563,0.131868392357654,756,2.05,10.45,2372.2,0,7.89046,0
"1151","Utsira","11","Rogaland",0,0,0,0,0,0,6.32,198,30,0.151515151515152,295,NA,15.66,11.4,0,NA,0
